Name_of_sign,YouTube_link,Same_in_SASL_as_ASL,Can_the_link_be_downloaded,Number_of_Hands_used,,`,`
duck,www.youtube.com/watch?v=GFSf6YRJSw4,SAME,YES,ONE HAND,,,
duck,www.youtube.com/watch?v=GFSf6YRJSw4,SAME,YES,ONE HAND,,,
tuesday,www.youtube.com/watch?v=zvFM6wEfqYc,NOT THE SAME,YES,ONE HAND,,,
tuesday,www.youtube.com/watch?v=zvFM6wEfqYc,NOT THE SAME,YES,ONE HAND,,,
tuesday,www.youtube.com/watch?v=zvFM6wEfqYc,NOT THE SAME,YES,ONE HAND,,,
understand,www.youtube.com/watch?v=aJQwSB1GQok,SAME,YES,ONE HAND,,,
WRITE,www.youtube.com/watch?v=3RYUgwyFzgM,SAME,YES,TWO HANDS,,,
BUS,www.youtube.com/watch?v=0zCn8wneK6M,NOT THE SAME,YES,ONE HAND,,,
everyday,www.youtube.com/watch?v=LOdG5cVf_QQ,NOT THE SAME,YES,ONE HAND,,,
don't understand,www.youtube.com/watch?v=q9iEZYhb3oE,SAME,YES,ONE HAND,,,
sign,www.youtube.com/watch?v=fgt8o9YSV_8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
sign,www.youtube.com/watch?v=fgt8o9YSV_8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Fence,www.youtube.com/watch?v=-y4eKofvHlY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
SILLY,www.youtube.com/watch?v=dkC_DIfjtq0,NOT THE SAME,YES,ONE HAND,,,
HAT (1),www.youtube.com/watch?v=fNg_sJ9f8EI,NOT THE SAME,YES,ONE HAND,,,
SURPRISE,www.youtube.com/watch?v=95AiB9DJaiI,SAME,YES,TWO HANDS,,,
clean,www.youtube.com/watch?v=pt8VPByKR58,NOT THE SAME,YES,TWO HANDS,,,
Man,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
Woman,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
Deaf,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
hearing,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
boy,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
girl,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
Teach,www.youtube.com/watch?v=vcrTUbE1NoY,SAME,YES,TWO HANDS,,,
Learn,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,TWO HANDS,,,
Same-as,www.youtube.com/watch?v=vcrTUbE1NoY,SAME,YES,ONE HAND,,,
Stand,www.youtube.com/watch?v=vcrTUbE1NoY,SAME,YES,TWO HANDS,,,
Class,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,TWO HANDS,,,
Teacher,www.youtube.com/watch?v=vcrTUbE1NoY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Student,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,TWO HANDS,,,
Sign\nLanguage,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,TWO HANDS,,,
French,www.youtube.com/watch?v=vcrTUbE1NoY,SAME,YES,ONE HAND,,,
School,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,TWO HANDS,,,
College,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,TWO HANDS,,,
University,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,TWO HANDS,,,
High\nSchool,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,TWO HANDS,,,
not,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
oh i see,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
Oh-I-see,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
No,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
Where?,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
Who?,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
10,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
11,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
12,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
13,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
14,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
15,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
16,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
18,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
20,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
21,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
22,www.youtube.com/watch?v=vcrTUbE1NoY,SOMEWHAT THE SAME,YES,ONE HAND,,,
23,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
24,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
25,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
26,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
27,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
28,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
29,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
30,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
airplane,www.youtube.com/watch?v=vcrTUbE1NoY,SAME,YES,ONE HAND,,,
to fly,www.youtube.com/watch?v=vcrTUbE1NoY,SAME,YES,ONE HAND,,,
Last,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,TWO HANDS,,,
Happy,www.youtube.com/watch?v=vcrTUbE1NoY,NOT THE SAME,YES,ONE HAND,,,
Scared,www.youtube.com/watch?v=vcrTUbE1NoY,SAME,YES,TWO HANDS,,,
COLOR,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
GREEN,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
BLUE,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
BLACK,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
WHITE,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
WHITE,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
WHITE,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
ORANGE,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,ONE HAND,,,
ORANGE,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,ONE HAND,,,
RED,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
PURPLE,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
PINK,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
BROWN,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,ONE HAND,,,
YELLOW,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,ONE HAND,,,
RAINBOW,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,TWO HANDS,,,
RAINBOW,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,TWO HANDS,,,
CLOTHES,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,TWO HANDS,,,
SHIRT,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,ONE HAND,,,
TIE,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,ONE HAND,,,
COAT\n(JACKET),www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,TWO HANDS,,,
UNDERWEAR,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,TWO HANDS,,,
SHOES,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,TWO HANDS,,,
CLEAN,www.youtube.com/watch?v=NAZKMt2NhtU,NOT THE SAME,YES,TWO HANDS,,,
DIRTY,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,ONE HAND,,,
DIRTY,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,ONE HAND,,,
DIRTY,www.youtube.com/watch?v=NAZKMt2NhtU,SAME,YES,ONE HAND,,,
GIRL,www.youtube.com/watch?v=pDvUTe7rkpo,NOT THE SAME,YES,ONE HAND,,,
Coffee,www.youtube.com/watch?v=FEZ2sZmYRbI,SAME,YES,TWO HANDS,,,
Doctor #1,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Doctor #2,www.youtube.com/watch?v=IrdTDCpIunA,SAME,YES,TWO HANDS,,,
Chef,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Librarian,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Police,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,ONE HAND,,,
Firefighter,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,ONE HAND,,,
Nurse,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Dentist #1,www.youtube.com/watch?v=IrdTDCpIunA,SAME,YES,ONE HAND,,,
Dentist #2,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,ONE HAND,,,
Waiter / Waitress,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Vice President,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,ONE HAND,,,
Counselor,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Student,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Secretary #1,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Secretary #2,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Manager,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Actor / Actress,www.youtube.com/watch?v=IrdTDCpIunA,SAME,YES,TWO HANDS,,,
Cashier,www.youtube.com/watch?v=IrdTDCpIunA,SAME,YES,TWO HANDS,,,
Bank (signed B N K),www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,ONE HAND,,,
Store,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Grocery Store,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Restaurant,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,ONE HAND,,,
School,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Work,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Office,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Hospital,www.youtube.com/watch?v=IrdTDCpIunA,SAME,YES,ONE HAND,,,
Church,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
Building #1,www.youtube.com/watch?v=IrdTDCpIunA,SAME,YES,TWO HANDS,,,
Building #2,www.youtube.com/watch?v=IrdTDCpIunA,SAME,YES,TWO HANDS,,,
House,www.youtube.com/watch?v=IrdTDCpIunA,SAME,YES,TWO HANDS,,,
Apartment (APT),www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,ONE HAND,,,
Gym,www.youtube.com/watch?v=IrdTDCpIunA,NOT THE SAME,YES,TWO HANDS,,,
\\II\n\nBORROW,www.youtube.com/watch?v=RQLQdLieFZw,SAME,YES,TWO HANDS,,,
\\II\n\nBORROW,www.youtube.com/watch?v=RQLQdLieFZw,SAME,YES,TWO HANDS,,,
\\II\n\nSTEAL,www.youtube.com/watch?v=RQLQdLieFZw,SOMEWHAT THE SAME,YES,TWO HANDS,,,
\\II\n\nSTEAL,www.youtube.com/watch?v=RQLQdLieFZw,SOMEWHAT THE SAME,YES,TWO HANDS,,,
\\II\n\nSTEAL,www.youtube.com/watch?v=RQLQdLieFZw,SOMEWHAT THE SAME,YES,TWO HANDS,,,
\\II\n\nBREAK,www.youtube.com/watch?v=RQLQdLieFZw,SAME,YES,TWO HANDS,,,
\\II\n\nBREAK,www.youtube.com/watch?v=RQLQdLieFZw,SAME,YES,TWO HANDS,,,
\\II\n\nCOMPLAIN,www.youtube.com/watch?v=RQLQdLieFZw,NOT THE SAME,YES,ONE HAND,,,
\\II\n\nCOMPLAIN,www.youtube.com/watch?v=RQLQdLieFZw,NOT THE SAME,YES,ONE HAND,,,
\\II\n\nFIGHT,www.youtube.com/watch?v=RQLQdLieFZw,SOMEWHAT THE SAME,YES,TWO HANDS,,,
\\II\n\nFIGHT,www.youtube.com/watch?v=RQLQdLieFZw,SOMEWHAT THE SAME,YES,TWO HANDS,,,
\\II\n\nNOSY,www.youtube.com/watch?v=RQLQdLieFZw,SOMEWHAT THE SAME,YES,TWO HANDS,,,
\\II\n\nNOSY,www.youtube.com/watch?v=RQLQdLieFZw,SOMEWHAT THE SAME,YES,TWO HANDS,,,
\\II\n\nNOSY,www.youtube.com/watch?v=RQLQdLieFZw,SOMEWHAT THE SAME,YES,TWO HANDS,,,
\\II\n\nMISCHIEVOUS,www.youtube.com/watch?v=RQLQdLieFZw,NOT THE SAME,YES,TWO HANDS,,,
\\II\n\nMISCHIEVOUS,www.youtube.com/watch?v=RQLQdLieFZw,NOT THE SAME,YES,TWO HANDS,,,
EVERYDAY,www.youtube.com/watch?v=oJrNJvlvIEI,NOT THE SAME,YES,ONE HAND,,,
EVERYDAY,www.youtube.com/watch?v=oJrNJvlvIEI,NOT THE SAME,YES,ONE HAND,,,
EVERYDAY,www.youtube.com/watch?v=oJrNJvlvIEI,NOT THE SAME,YES,ONE HAND,,,
EVERY\nMORNING,www.youtube.com/watch?v=oJrNJvlvIEI,NOT THE SAME,YES,TWO HANDS,,,
EVERY\nAFTERNOON,www.youtube.com/watch?v=oJrNJvlvIEI,NOT THE SAME,YES,TWO HANDS,,,
EVERY\nNIGHT,www.youtube.com/watch?v=oJrNJvlvIEI,NOT THE SAME,YES,TWO HANDS,,,
lake-[WATER-AREA],www.youtube.com/watch?v=DnMeZbKL290,SOMEWHAT THE SAME,YES,TWO HANDS,,,
HISTORY,www.youtube.com/watch?v=GbqkM_RUSqQ,NOT THE SAME,Yes,ONE HAND,,,
30,www.youtube.com/watch?v=_HZDqvglLww,NOT THE SAME,Yes,ONE HAND,,,
30,www.youtube.com/watch?v=_HZDqvglLww,NOT THE SAME,yes,ONE HAND,,,
hurt,www.youtube.com/watch?v=c5mE3x_mOtI,NOT THE SAME,YES,TWO HANDS,,,
iran,www.youtube.com/watch?v=RNKaCnVgjpE,SAME,YES,TWO HANDS,,,
Green,www.youtube.com/watch?v=JKGNWUktN7Y,NOT THE SAME,YES,ONE HAND,,,
DESSERT,www.youtube.com/watch?v=ssGtRDAsG2I,NOT THE SAME,YES,TWO HANDS,,,
DESSERT,www.youtube.com/watch?v=ssGtRDAsG2I,NOT THE SAME,YES,TWO HANDS,,,
COOKIE,www.youtube.com/watch?v=ssGtRDAsG2I,SAME,YES,TWO HANDS,,,
COOKIE,www.youtube.com/watch?v=ssGtRDAsG2I,SAME,YES,TWO HANDS,,,
CAKE,www.youtube.com/watch?v=ssGtRDAsG2I,NOT THE SAME,YES,TWO HANDS,,,
ICE CREAM,www.youtube.com/watch?v=ssGtRDAsG2I,SAME,YES,ONE HAND,,,
PIE,www.youtube.com/watch?v=ssGtRDAsG2I,SOMEWHAT THE SAME,YES,TWO HANDS,,,
SWEET,www.youtube.com/watch?v=ssGtRDAsG2I,NOT THE SAME,YES,ONE HAND,,,
CHOCOLATE,www.youtube.com/watch?v=ssGtRDAsG2I,SAME,YES,TWO HANDS,,,
DELICIOUS,www.youtube.com/watch?v=ssGtRDAsG2I,NOT THE SAME,YES,TWO HANDS,,,
DELICIOUS,www.youtube.com/watch?v=ssGtRDAsG2I,NOT THE SAME,YES,TWO HANDS,,,
DELICIOUS,www.youtube.com/watch?v=ssGtRDAsG2I,NOT THE SAME,YES,TWO HANDS,,,
DELICIOUS,www.youtube.com/watch?v=ssGtRDAsG2I,NOT THE SAME,YES,TWO HANDS,,,
DELICIOUS,www.youtube.com/watch?v=ssGtRDAsG2I,NOT THE SAME,YES,TWO HANDS,,,
DESSERTS,www.youtube.com/watch?v=ssGtRDAsG2I,NOT THE SAME,YES,TWO HANDS,,,
Different,www.youtube.com/watch?v=rzzunApjSTA,SAME,YES,TWO HANDS,,,
SALAD,www.youtube.com/watch?v=UZgQNIxw2m8,SAME,YES,TWO HANDS,,,
name,www.youtube.com/watch?v=Yax6lza_-ig,NOT THE SAME,YES,TWO HANDS,,,
name,www.youtube.com/watch?v=Yax6lza_-ig,NOT THE SAME,YES,TWO HANDS,,,
wife,www.youtube.com/watch?v=4Z_k8p1NG6E,NOT THE SAME,YES,TWO HANDS,,,
BACK,www.youtube.com/watch?v=ARMa7qIuyQw,NOT THE SAME,YES,ONE HAND,,,
HAT (2),www.youtube.com/watch?v=fNg_sJ9f8EI,NOT THE SAME,YES,TWO HANDS,,,
butter,www.youtube.com/watch?v=5m5s5jzoRCI,NOT THE SAME,YES,TWO HANDS,,,
denmark,www.youtube.com/watch?v=bfvWH5B8zmc,SAME,YES,ONE HAND,,,
bread,www.youtube.com/watch?v=w9zjMSIbOF4,SAME,YES,TWO HANDS,,,
bread,www.youtube.com/watch?v=w9zjMSIbOF4,SAME,YES,TWO HANDS,,,
soap,www.youtube.com/watch?v=13xNzlhg8xE,NOT THE SAME,YES,TWO HANDS,,,
PANTS (1),www.youtube.com/watch?v=fNg_sJ9f8EI,NOT THE SAME,YES,TWO HANDS,,,
PANTS (2),www.youtube.com/watch?v=fNg_sJ9f8EI,NOT THE SAME,YES,TWO HANDS,,,
Face,www.youtube.com/watch?v=Qn-cI605Flk,SAME,YES,ONE HAND,,,
LAUNDRY,www.youtube.com/watch?v=BHBj0fMBO1c,NOT THE SAME,YES,TWO HANDS,,,
celebrate,www.youtube.com/watch?v=UVLUw7Mkcg8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
plate,www.youtube.com/watch?v=467bGKb1Blw,NOT THE SAME,YES,TWO HANDS,,,
BRIGHT,www.youtube.com/watch?v=wpa-jXwzDws,SAME,YES,TWO HANDS,,,
tiger,www.youtube.com/watch?v=tovabJjlEKE,NOT THE SAME,YES,TWO HANDS,,,
YESTERDAY,www.youtube.com/watch?v=3HW7fiLE3Fo,NOT THE SAME,YES,ONE HAND,,,
SHOES,www.youtube.com/watch?v=fNg_sJ9f8EI,NOT THE SAME,YES,TWO HANDS,,,
bathroom,www.youtube.com/watch?v=TKP160dVU9o,NOT THE SAME,YES,ONE HAND,,,
PANTS,www.youtube.com/watch?v=8S_A5xUi4tY,SAME,YES,TWO HANDS,,,
PANTS,www.youtube.com/watch?v=8S_A5xUi4tY,NOT THE SAME,YES,TWO HANDS,,,
PANTS,www.youtube.com/watch?v=8S_A5xUi4tY,NOT THE SAME,YES,TWO HANDS,,,
HAT,www.youtube.com/watch?v=mbaDiFHAUWs,NOT THE SAME,YES,ONE HAND,,,
full,www.youtube.com/watch?v=_ct_E9MU_2U,NOT THE SAME,YES,ONE HAND,,,
full,www.youtube.com/watch?v=_ct_E9MU_2U,SAME,YES,TWO HANDS,,,
come,www.youtube.com/watch?v=6rhjOzTuZrs,SOMEWHAT THE SAME,YES,TWO HANDS,,,
come,www.youtube.com/watch?v=6rhjOzTuZrs,SOMEWHAT THE SAME,YES,TWO HANDS,,,
mad,www.youtube.com/watch?v=-Yqw89wx7TE,NOT THE SAME,YES,ONE HAND,,,
Restaurant,www.youtube.com/watch?v=bi3652qhpkc,NOT THE SAME,YES,ONE HAND,,,
THAT-one!-[+nod]-[yes-that!/confirming],www.youtube.com/watch?v=wrAlAg0DIC0,NOT THE SAME,YES,ONE HAND,,,
GLASSES,www.youtube.com/watch?v=g8Z70pasMZY,SAME,YES,TWO HANDS,,,
COME,www.youtube.com/watch?v=byLBN5lKXgU,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Scarf,www.youtube.com/watch?v=btEXrITUxpI,NOT THE SAME,YES,TWO HANDS,,,
Last year,www.youtube.com/watch?v=B28Zjg7qjD0,NOT THE SAME,YES,TWO HANDS,,,
HALLOWEEN,www.youtube.com/watch?v=etaFxJRJxhc,NOT THE SAME,YES,TWO HANDS,,,
CLOTHES,www.youtube.com/watch?v=Xmrvvk8l3_w,SAME,YES,TWO HANDS,,,
flat tire,www.youtube.com/watch?v=HZ0Rgg0WLc0,SOMEWHAT THE SAME,YES,TWO HANDS,,,
RESEARCH,www.youtube.com/watch?v=2LHzhivZXLU,NOT THE SAME,YES,TWO HANDS,,,
grass,www.youtube.com/watch?v=gcHEOZDLbgk,NOT THE SAME,yes,ONE HAND,,,
grass,www.youtube.com/watch?v=gcHEOZDLbgk,NOT THE SAME,yes,ONE HAND,,,
grass,www.youtube.com/watch?v=gcHEOZDLbgk,NOT THE SAME,yes,ONE HAND,,,
SHIRT-[version],www.youtube.com/watch?v=9Rcg3QJiClc,SAME,YES,TWO HANDS,,,
Soda,www.youtube.com/watch?v=Xhyu8snk1Mc,,NO,,,,
YES,www.youtube.com/watch?v=V9nSkd0Oib4,SAME,YES,ONE HAND,,,
Cup,www.youtube.com/watch?v=pOT5hftJ3dQ,SAME,YES,ONE HAND,,,
ALGEBRA,www.youtube.com/watch?v=bdqc3lPS5vM,SAME,YES,TWO HANDS,,,
AUNT,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
UNCLE,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
BROTHER,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
BROTHER,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
SISTER,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
SISTER,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
FEMALE\nCOUSIN,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
MALE\nCOUSIN,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
HUSBAND,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
WIFE,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
GRANDFATHER,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
GRANDMOTHER,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
MOTHER,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
FATHER,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
STEP-,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
TWINS,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
BABY,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
CHILDREN,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
SON,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
DAUGHTER,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
NEPHEW,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
NIECE,www.youtube.com/watch?v=4M6Y4QgvO2k,,NO,,,,
television,www.youtube.com/watch?v=wac7vn5p1iM,SOMEWHAT THE SAME,YES,ONE HAND,,,
television,www.youtube.com/watch?v=wac7vn5p1iM,SOMEWHAT THE SAME,YES,ONE HAND,,,
Lettuce,www.youtube.com/watch?v=MKFLDmrswO8,,NO,,,,
WEST,www.youtube.com/watch?v=TyPXiMvAAeE,SAME,YES,ONE HAND,,,
bed,www.youtube.com/watch?v=ACpimfKABUc,NOT THE SAME,YES,TWO HANDS,,,
sign,www.youtube.com/watch?v=dVQhNY3MjwE,NOT THE SAME,YES,TWO HANDS,,,
ENGLISH,www.youtube.com/watch?v=0DvddCzpMEI,NOT THE SAME,YES,TWO HANDS,,,
IMPORTANT-[value,www.youtube.com/watch?v=78ufEd7IqnM,NOT THE SAME,YES,TWO HANDS,,,
sunday,www.youtube.com/watch?v=rp6BeMZfmlo,NOT THE SAME,YES,TWO HANDS,,,
sunday,www.youtube.com/watch?v=rp6BeMZfmlo,NOT THE SAME,YES,TWO HANDS,,,
sunday,www.youtube.com/watch?v=rp6BeMZfmlo,NOT THE SAME,YES,TWO HANDS,,,
purple,www.youtube.com/watch?v=kE6I5zBovVE,NOT THE SAME,YES,TWO HANDS,,,
HEARING-[hearing-person-culturally],www.youtube.com/watch?v=sMRpqyQK72c,NOT THE SAME,YES,ONE HAND,,,
HURRY (alternative),www.youtube.com/watch?v=K8dYI12tBfE,NOT THE SAME,YES,TWO HANDS,,,
chef,www.youtube.com/watch?v=L-7_MYSOCaI,NOT THE SAME,YES,TWO HANDS,,,
UNDERSTAND,www.youtube.com/watch?v=u5or-ua49e4,SAME,YES,ONE HAND,,,
none,www.youtube.com/watch?v=TGTJULIuxHo,SAME,YES,TWO HANDS,,,
University,www.youtube.com/watch?v=CJkW93Lfq0E,NOT THE SAME,YES,TWO HANDS,,,
arrive,www.youtube.com/watch?v=Mf8u0vGXq80,NOT THE SAME,YES,TWO HANDS,,,
AWKWARD,www.youtube.com/watch?v=JlKhON_Ta2k,SAME,YES,TWO HANDS,,,
church,www.youtube.com/watch?v=1lRv4EMqTfI,NOT THE SAME,YES,TWO HANDS,,,
church,www.youtube.com/watch?v=1lRv4EMqTfI,NOT THE SAME,YES,TWO HANDS,,,
garden,www.youtube.com/watch?v=GFjM3GkAbdw,NOT THE SAME,YES,TWO HANDS,,,
AMERICA,www.youtube.com/watch?v=PX77Dx-PbkI,SAME,YES,TWO HANDS,,,
CUPBOARD [CABINET],www.youtube.com/watch?v=RAVEhadXAFc,SAME,YES,TWO HANDS,,,
tomorrow,www.youtube.com/watch?v=Prob9ul1V3M,SAME,YES,ONE HAND,,,
WALK (3rd alternative),www.youtube.com/watch?v=RjtQ5iyxBrI,SAME,YES,ONE HAND,,,
2,www.youtube.com/watch?v=0z5bBA_w7p8,SAME,YES,ONE HAND,,,
5,www.youtube.com/watch?v=0z5bBA_w7p8,SAME,YES,ONE HAND,,,
6,www.youtube.com/watch?v=0z5bBA_w7p8,NOT THE SAME,YES,ONE HAND,,,
7-,www.youtube.com/watch?v=0z5bBA_w7p8,NOT THE SAME,YES,ONE HAND,,,
7-,www.youtube.com/watch?v=0z5bBA_w7p8,NOT THE SAME,YES,ONE HAND,,,
